x,y
0.0,0.0
34.44419409769996,4.512458277789233
66.12531769466902,6.387305703303533
97.11483718549712,8.423003065827515
127.0286754105594,0.6679523553606561
147.45699053249427,3.6170421382659024
151.37669817291126,8.363136034857288
154.9951706108692,6.453956687798252
158.2748498915095,16.37370047481692
172.04443140792804,27.644039211590723
189.68871634702901,28.84095302972541
197.60345042052654,23.182976542883946
210.35599832234124,24.361486715354538
212.42873656918547,19.305538339001693
217.5388041985082,32.84831617830476
238.98777430397587,36.04210077367346
246.89771190417576,36.134115263678595
248.8652713241293,45.4312611412495
265.32990698513623,42.25991154824019
269.93372734339755,43.17058410846565
273.4087619581286,52.8860530193556
272.6235631596208,57.81473873498554
282.96217074422304,59.64212401003535
293.1563228413097,63.152268002307764
303.4207386093253,58.54506210741094
304.3130247814598,63.231480228445484
293.9718280915402,62.765817919848686
295.9503466134277,73.197718377023
298.84222935375226,73.39689518228612
309.14311244841014,70.03692001178322
302.82228609882844,74.52834024544687
300.55246875907955,73.67559828253081
309.1608761987392,85.37912131153371
317.4394870826613,96.4763617153611
326.6304817262154,89.74651617654587
329.87880038083864,93.29134841625299
326.77639533828665,102.56394031724955
320.10149271937706,99.71213919938148
327.1461566454758,109.5548923599806
330.6601762406632,111.09462211243924
336.3946594578093,121.05162826062676
337.42212793636196,120.81131112332596
335.5475524361084,131.40980562804958
343.18692653206875,135.2846749650877
341.6230983766565,140.10828953536014
343.11278229351785,143.04088501650938
328.4168144424183,155.12779136460597
339.9505786306697,156.99788199705353
334.9877611547935,161.77280269726393
334.9332669176939,172.2775478057654
335.7303666253302,172.7738600675418
328.8271870800174,182.66027801719164
333.00777440714717,192.45206022646778
328.03100574092673,205.22494529869638
319.7934001069201,211.0136820109533
311.9581936476474,209.13379222185497
322.3895367779147,217.1316436269595
319.81407764116705,218.12466384788758
320.1194241201464,225.24052081894575
325.38880894480167,226.87876141837256
314.8636406104132,231.8408431829186
312.2605391832226,229.45887126065725
313.5312621932184,233.6491696510492
314.1933858292586,234.42983530535352
315.1702464088263,233.48942720405898
308.48423781641935,238.69383557870623
315.5007370032968,248.37572384292977
317.49283975617163,259.87500482974673
331.28986382705244,262.7178286995977
331.0680747482364,270.49755658514624
328.3381169259965,281.5866962035064
319.2649215933934,280.2732620236854
315.6808363112275,281.8664630388714
312.884499362041,292.67949300909413
305.9427078882903,292.9371581306612
302.7215822634006,294.3171502938801
288.6411373257069,294.0830125160814
289.4794300252302,304.58285590828507
280.0395455948642,300.7787575676874
277.24316847354874,293.4275351586024
271.5844343800288,289.6270472754727
274.8213064555579,291.75024241110964
278.06543330803623,303.2573540035615
268.09950683595423,301.3049509213415
261.64744287340204,304.36140760462837
258.50659394369967,303.6717049324225
257.51014895973634,308.82769794594344
250.52036400488768,308.711645377225
244.48339065397795,308.18727198750463
239.91205159411922,312.56564567891786
236.42248964451483,324.65965154326926
230.7730122462025,330.87315155915087
226.95099280391705,329.8103151542848
221.13796277437595,330.2206793889445
217.52639542567664,326.6973602552095
204.98038227270223,332.6318493124856
205.714958735941,338.09469348546395
201.6302177439851,342.49760809291024
200.04468024042183,346.15874164448843
189.89006227819087,339.7513321328224
182.9424441332049,340.4459446559951
177.43409876009852,332.038025047997
181.87872363981674,333.3848623692906
176.71531881885932,341.9267009544682
158.75066414979716,339.48566504937196
153.19002019903,338.1389953044857
148.99535778681854,345.6341942057745
149.08409057644124,349.3132783087375
144.70259306568872,340.65629714435636
129.02733541390302,332.87352762333927
127.76047315170707,334.40393902923967
123.09014964289183,333.685591915831
129.5788720774341,330.42505513942876
128.25747073612624,331.12589880547694
121.00246406974692,336.99358300215073
122.2703488989398,334.3865018655852
119.44833554222399,334.97240278575094
112.92534490433472,334.34910406802976
103.53278644899233,331.17032056395203
95.72433025774738,334.5707081169551
91.2835913737452,325.88969230738
83.6598191721538,309.0620567480652
77.56656888050826,311.3027617474971
73.31941074411897,322.20991556455687
72.44223487519903,323.0274101644965
59.74134635527169,318.106062761563
54.356392019603895,311.18845582648686
47.644778038199746,300.546719245685
39.05535357655643,305.427012805298
36.966826313166344,301.80543390848266
34.77043648793347,306.29481001078415
32.14943501751109,305.84939411627084
24.900811046498813,298.90272192752167
24.284258281622503,305.66851437129577
28.653725719369096,304.06966922085104
25.204002583785137,306.5530340123711
25.079709521189805,289.5591946233789
15.208056213626488,288.466589987598
3.3934098503019268,281.20465105766425
-0.8428868332182478,277.8087135979854
-2.7954615630173634,274.0614525155275
0.48686259336692306,269.76458220068423
-3.9689081549991494,260.10485797376424
-1.3605174680738754,254.7503371175817
-10.192032574194613,254.02180696815773
-15.920399647654914,248.78425341473863
-15.510393784451693,244.53612093029471
-5.3641003776066025,241.2790094140842
-6.013714951065294,228.46809624560137
-14.540163839595131,221.68614479097633
-22.0315845961085,222.78745472459752
-17.947292717229168,222.28812570313258
-20.788782843784443,215.9063778563561
-16.811998013269044,223.0447812540431
-19.082120622854557,222.32287936925547
-20.163791435978858,220.28559296909557
-28.425328680564874,211.86755690910752
-27.34848856759216,212.9895675690109
-32.48580831257287,197.4023134312331
-35.28271602002187,199.3524509941658
-43.212181062396326,189.12428031815153
-41.30561421425712,185.08523952133612
-37.70546119330719,175.39993184443688
-39.78782764416336,178.3824566328174
-46.01939452929718,181.39977022558267
-50.57026812033388,179.4712263455763
-50.541006114737996,167.09012005340588
-51.05274066671414,164.7899570437704
-49.23809632784563,165.46138148768986
-40.839278323245104,153.8743171383178
-47.60256172979723,143.01409651636283
-51.04187566567387,145.19468016549374
-46.19344227398966,137.8999475289994
-44.79623419862918,140.85261622961937
-33.72778101512894,136.2400532639381
-47.76291712102487,131.72319354256527
-40.819217747208484,127.22224890859812
-35.65334597247039,123.47690907104584
-40.92605396842988,113.72804317976599
-40.085070352964294,114.79253319895417
-41.75490315450057,111.74874245353678
-37.12007418380328,114.06674146028033
-34.74344272214805,98.39781179203118
-29.329026177005094,104.40534066135955
-24.262432455779386,94.16256708290219
-28.734971343627485,84.38640468340995
-16.19645103179738,79.02172571183961
-18.788360778796406,74.41091709840467
-18.45371723453925,78.77160393030381
-21.00799459472072,79.1510704524872
-16.938997160334733,78.5991945986755
